date,temper
10/1/2015,25
10/2/2015,28
10/3/2015,35
10/4/2015,22
10/5/2015,20
10/6/2015,20
10/7/2015,34
10/8/2015,30
10/9/2015,25
10/10/2015,35
10/11/2015,32
10/12/2015,23
10/13/2015,22
10/14/2015,31
10/15/2015,24
10/16/2015,27
10/17/2015,22
10/18/2015,26
10/19/2015,22
10/20/2015,32
10/21/2015,23
10/22/2015,27
10/23/2015,33
10/24/2015,30
10/25/2015,24
10/26/2015,34
10/27/2015,21
10/28/2015,30
10/29/2015,30
10/30/2015,20
10/31/2015,27
11/1/2015,20
11/2/2015,32
11/3/2015,23
11/4/2015,33
11/5/2015,30
11/6/2015,21
11/7/2015,22
11/8/2015,26
11/9/2015,23
11/10/2015,24
11/11/2015,35
11/12/2015,23
11/13/2015,22
11/14/2015,35
11/15/2015,34
11/16/2015,27
11/17/2015,22
11/18/2015,25
11/19/2015,35
11/20/2015,25
11/21/2015,21
11/22/2015,29
11/23/2015,35
11/24/2015,30
11/25/2015,20
11/26/2015,20
11/27/2015,20
11/28/2015,34
11/29/2015,20
11/30/2015,33
